iter	Passed	Remaining
302	71	1111
303	71	1111
304	72	1111
305	72	1111
306	72	1112
307	72	1111
308	73	1111
309	73	1111
310	73	1111
311	73	1111
312	74	1111
313	74	1111
314	74	1111
315	75	1111
316	75	1111
317	75	1110
318	75	1110
319	75	1110
320	76	1110
321	76	1110
322	76	1110
323	76	1109
324	77	1110
325	77	1110
326	77	1110
327	77	1110
328	78	1109
329	78	1109
330	78	1109
331	78	1108
332	79	1109
333	79	1108
334	79	1108
335	79	1109
336	80	1109
337	80	1108
338	80	1108
339	80	1108
340	81	1109
341	81	1109
342	82	1117
343	82	1119
344	82	1119
345	83	1120
346	83	1121
347	83	1121
348	84	1121
349	84	1121
350	84	1121
351	84	1121
352	85	1121
353	85	1121
354	85	1121
355	85	1121
356	86	1120
357	86	1120
358	86	1120
359	86	1120
360	87	1120
361	87	1121
362	87	1122
363	88	1121
364	88	1121
365	88	1122
366	89	1128
367	89	1128
368	89	1128
369	90	1127
370	90	1128
371	90	1128
372	91	1128
373	91	1128
374	91	1129
375	91	1128
376	92	1130
377	92	1131
378	92	1133
379	93	1133
380	93	1132
381	93	1132
382	93	1132
383	94	1132
384	94	1131
385	94	1130
386	94	1131
387	95	1131
388	95	1131
389	95	1132
390	96	1132
391	96	1132
392	96	1131
393	97	1136
394	97	1135
395	97	1135
396	97	1134
397	98	1134
398	98	1134
399	98	1133
400	98	1132
401	98	1131
402	99	1130
403	99	1129
404	99	1128
405	99	1128
406	99	1127
407	100	1126
408	100	1126
409	100	1126
410	100	1126
411	101	1126
412	101	1126
413	101	1127
414	102	1127
415	102	1128
416	102	1128
417	102	1128
418	103	1128
419	103	1128
420	103	1128
421	104	1128
422	104	1127
423	104	1128
424	104	1128
425	105	1127
426	105	1128
427	105	1128
428	105	1128
429	106	1128
430	106	1128
431	106	1127
432	106	1128
433	107	1128
434	107	1128
435	107	1128
436	108	1128
437	108	1128
438	108	1127
439	108	1127
440	108	1126
441	109	1126
442	109	1126
443	109	1126
444	110	1126
445	110	1125
446	110	1125
447	110	1125
448	110	1125
449	111	1124
450	111	1124
451	111	1123
452	111	1123
453	112	1123
454	112	1122
455	112	1122
